Device,Manufacturer,Device Type,MIDI Role,Message Type,CC# (MSB),CC LSB,NRPN MSB,NRPN LSB,Parameter / Function,Value Range / Units,Notes,MIDI Channel / Mode,Tx/Rx,Source,Source detail
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,6,Data entry knob G (machine dependent),14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,23,,,,Sample Level,0-127 (unless noted),Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,7,Sample Level,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - SOURCE,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,74,,,,Filter Frequency,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,20,Filter Frequency,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,75,,,,Resonance,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,21,Resonance,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,76,,,,Filter Type,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,22,Filter Type,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,70,,,,Attack Time,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,16,Attack Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,71,,,,Decay Time,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,17,Decay Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,72,,,,Sustain Level,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,18,Sustain Level,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,73,,,,Release Time,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,19,Release Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,77,,,,Env. Depth,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,23,Env. Depth,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,86,,,,Env. Delay,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,50,Env. Delay,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,87,,,,Sample Rate Reduction,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,53,Sample Rate Reduction,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,84,,,,Base,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,51,Base,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,85,,,,Width,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,52,Width,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,88,,,,SRR Routing,0-127 (unless noted),Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,54,SRR Routing,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - FILTER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,78,,,,Attack Time,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,24,Attack Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,79,,,,Hold Time,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,25,Hold Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,80,,,,Decay Time,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,26,Decay Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,81,,,,Overdrive,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,27,Overdrive,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,82,,,,Delay Send,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,28,Delay Send,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,83,,,,Reverb Send,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,29,Reverb Send,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,10,,,,Pan,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,30,Pan,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,7,,,,Volume,0-127 (unless noted),Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,31,Volume,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - AMP,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,102,,,,Speed,0-127 (unless noted),Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,32,Speed,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,103,,,,Multiplier,0-127 (unless noted),Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,33,Multiplier,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,104,,,,Fade In/Out,0-127 (unless noted),Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,34,Fade In/Out,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,105,,,,Destination,0-127 (unless noted),Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,35,Destination,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,106,,,,Waveform,0-127 (unless noted),Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
